collection_name,dataset_name,train_path,test_path,dataset_type,datetime_index,split_at,train_type,train_is_normal,input_type,length,dimensions,contamination,num_anomalies,min_anomaly_length,median_anomaly_length,max_anomaly_length,mean,stddev,trend,stationarity,period_size
CalIt2,CalIt2-traffic,,multivariate/CalIt2/CalIt2-traffic.test.csv,real,True,,unsupervised,False,multivariate,5040,2,0.0408730158730158,29,2,7,19,3.8128968253968254,6.422468293621787,no trend,difference_stationary,48.0
Daphnet,S08R01E2,,multivariate/Daphnet/S08R01E2.test.csv,real,True,,unsupervised,False,multivariate,13440,9,0.0787946428571428,3,140,372,547,347.5530836640212,112.3214937249275,no trend,stationary,12.0
Daphnet,S09R01E0,,multivariate/Daphnet/S09R01E0.test.csv,real,True,,unsupervised,False,multivariate,9600,9,0.0336458333333333,4,44,83,112,393.0579282407408,252.6699603979836,no trend,difference_stationary,37.0
Daphnet,S09R01E4,,multivariate/Daphnet/S09R01E4.test.csv,real,True,,unsupervised,False,multivariate,9600,9,0.0279166666666666,1,268,268,268,363.1347106481482,230.52353001656687,no trend,trend_stationary,34.0
Exathlon,5_1_100000_63-64,multivariate/Exathlon/5_1_100000_63-64.train.csv,multivariate/Exathlon/5_1_100000_63-64.test.csv,real,True,,supervised,False,multivariate,43066,31,0.1262480843356708,3,1755,1838,1844,874588842.7787031,169321564.8139089,no trend,trend_stationary,5.0
Exathlon,5_1_100000_64-63,multivariate/Exathlon/5_1_100000_64-63.train.csv,multivariate/Exathlon/5_1_100000_64-63.test.csv,real,True,,supervised,False,multivariate,46660,18,0.0627518216888126,3,950,953,1025,837792333.6245561,98914576.7367449,no trend,difference_stationary,5.0
MITDB,103,,multivariate/MITDB/103.test.csv,real,True,,unsupervised,False,multivariate,650000,2,0.00118,2,364,383,403,-0.0922074384615384,0.5044745857719506,no trend,difference_stationary,11.0
MITDB,111,,multivariate/MITDB/111.test.csv,real,True,,unsupervised,False,multivariate,650000,2,0.0005692307692307,1,370,370,370,-0.0436046384615384,0.2815722308807094,no trend,difference_stationary,
MITDB,115,,multivariate/MITDB/115.test.csv,real,True,,unsupervised,False,multivariate,650000,2,0.0026923076923076,5,329,329,434,-0.3485986576923077,0.3041379547566412,no trend,difference_stationary,37.0
MITDB,117,,multivariate/MITDB/117.test.csv,real,True,,unsupervised,False,multivariate,650000,2,0.0006538461538461,1,425,425,425,-0.6729024423076925,0.270041562261696,no trend,stationary,14.0
SMD,machine-1-1,multivariate/SMD/machine-1-1.train.csv,multivariate/SMD/machine-1-1.test.csv,real,False,,semi-supervised,True,multivariate,28479,38,0.0945960181186137,8,2,433,721,0.1094261339417225,0.0568115519467564,kubic trend,not_stationary,
SMD,machine-1-2,multivariate/SMD/machine-1-2.train.csv,multivariate/SMD/machine-1-2.test.csv,real,False,,semi-supervised,True,multivariate,23694,38,0.0228749894488056,10,3,53,156,0.0636245941122113,0.0496356979359437,kubic trend,not_stationary,
SMD,machine-1-3,multivariate/SMD/machine-1-3.train.csv,multivariate/SMD/machine-1-3.test.csv,real,False,,semi-supervised,True,multivariate,23703,38,0.0344682107750073,12,3,46,225,0.1507255301205488,0.0811647322816673,kubic trend,not_stationary,
SMD,machine-1-5,multivariate/SMD/machine-1-5.train.csv,multivariate/SMD/machine-1-5.test.csv,real,False,,semi-supervised,True,multivariate,23706,38,0.0042183413481818,7,4,11,31,0.0726638063037561,0.0608990836000982,kubic trend,not_stationary,
SMD,machine-1-8,multivariate/SMD/machine-1-8.train.csv,multivariate/SMD/machine-1-8.test.csv,real,False,,semi-supervised,True,multivariate,23699,38,0.0321954512848643,20,3,4,371,0.1256775530602001,0.0748147043557725,kubic trend,not_stationary,
